Dhid,East,North,Elev,TD,Exp_Line,Year
788,4798.223,66946.278,815.000,164.400,26_n,1958-1961
789,3909.825,66909.259,807.400,173.700,28_n,1958-1961
790,4131.941,66461.042,815.000,163.100,28_s,1958-1961
791,4350.339,66012.166,821.650,111.500,28_s,1958-1961
792,5512.752,66734.389,835.330,141.600,24_s,1958-1961
793,3677.426,67351.972,798.900,63.100,28_n,1958-1961
795,5084.161,67639.666,806.290,187.800,24_n,1958-1961
796,2939.014,67349.947,792.230,59.000,30_n,1958-1961
797,5297.239,67188.645,820.400,177.400,24_s,1958-1961
798,4856.627,68088.941,799.010,40.700,24_n,1958-1961
799,3280.132,66539.669,800.120,126.100,30_n,1958-1961
800,6191.864,67635.657,817.490,174.300,20_n,1958-1961
801,7984.473,68353.907,816.650,53.900,12_n,1958-1961
802,5974.922,68084.953,804.980,131.200,20_n,1958-1961
803,8169.506,67889.209,826.450,114.000,11_n,1958-1961
804,7043.475,68016.528,812.680,122.200,17_n,1958-1961
804d,7047.02,68019.49,812.680,65.00,17_n,1977
805,8647.216,68039.445,827.050,117.600,9_n,1958-1961
806,3604.157,65685.908,814.860,102.000,30_s,1958-1961
806d,3605.17,65680.53,815.97,63.00,30_s,1977
807,6415.222,67186.711,836.860,128.500,20_s,1958-1961
808,2825.200,65841.638,804.590,125.700,32_s,1958-1961
809,3023.325,65381.296,812.800,98.000,32_s,1958-1961
810,2629.131,66297.431,797.200,164.600,32_n,1958-1961
811,2227.975,67232.675,787.640,86.600,32_n,1958-1961
812,1354.606,64844.852,811.400,108.100,37_s,1958-1961
813,2425.025,66770.558,792.010,130.000,32_n,1958-1961
820,1889.785,66229.692,790.500,163.300,34_n,1958-1961
824,8532.478,68257.970,820.900,58.800,9_n,1958-1961
825,8295.984,68235.894,820.430,65.300,10_n,1958-1961
826,8458.102,67867.495,830.700,114.800,10_n,1958-1961
827,5933.437,67019.629,833.290,156.000,22_s,1958-1961
828,5541.485,67828.713,808.170,174.600,22_n,1958-1961
829,5411.074,68103.324,801.240,92.600,22_n,1958-1961
830,7607.513,68015.255,817.160,111.600,14_n,1958-1961
831,7607.720,67765.487,821.440,113.200,14_s,1958-1961
832,7608.21,68265.12,814.51,71.700,14_n,1958-1961
832d,7606.07,68271.31,814.300,73.00,14_n,1977
833,7973.982,68053.855,820.280,129.000,12_n,1958-1961
833d,7974.32,68057.38,820.280,75.000,12_n,1977
834,7608.640,67512.887,828.230,79.000,14_s,1958-1961
835,8840.463,68231.286,822.770,56.000,8_n,1958-1961
836,7964.286,67753.472,826.080,109.200,12_n,1958-1961
837,8758.758,67814.134,836.400,107.200,9_n,1958-1961
838,8267.770,67663.454,832.210,119.100,11_s,1958-1961
840,8919.877,67987.145,831.510,110.100,8_n,1958-1961
841,9182.249,67964.823,837.370,112.300,7_n,1958-1961
842,9297.009,67801.863,853.630,92.200,7_s,1958-1961
843,7305.109,67808.748,818.040,120.500,15_n,1958-1961
844,7315.169,68054.000,813.860,107.400,15_n,1958-1961
845,7949.457,67498.355,832.340,98.000,12_s,1958-1961
846,5797.021,67291.075,824.030,175.000,22_s,1958-1961
847,7329.268,68306.967,812.210,93.000,15_n,1958-1961
848,5668.892,67558.155,815.080,181.000,22_n,1958-1961
849,7054.266,68269.631,810.820,101.300,17_n,1958-1961
850,7029.874,67743.502,818.370,129.000,17_n,1958-1961
850d,7038.61,67746.92,818.370,76.000,17_n,1977
851,5304.925,68333.770,799.900,55.000,22_n,1958-1961
852,5864.634,68304.896,803.040,77.900,20_n,1958-1961
853,6685.452,67872.339,813.000,154.300,18_n,1958-1961
854,6608.212,68667.824,806.700,28.400,18_n,1958-1961
855,6629.343,68364.887,807.680,91.400,18_n,1958-1961
856,6647.742,68120.804,810.220,117.400,18_n,1958-1961
857,6313.115,68405.598,805.360,83.500,19_n,1958-1961
858,6274.485,68652.596,804.420,50.000,19_n,1958-1961
859,6081.530,67861.320,810.240,174.300,20_n,1958-1961
860,6299.304,67403.793,827.010,170.000,20_s,1958-1961
861,4973.707,67864.102,801.270,105.400,24_n,1958-1961
862,5190.685,67412.376,812.680,186.000,24_n,1958-1961
863,9046.968,67771.576,844.780,80.700,8_s,1958-1961
864,8845.859,67638.642,846.030,89.000,9_s,1958-1961
866,8598.735,67551.989,843.520,111.000,10_s,1958-1961
867,8300.082,67412.335,840.140,92.200,11_s,1958-1961
869,9790.539,67911.473,848.700,129.000,5_s,1958-1961
871,10258.430,68010.642,835.530,89.200,3_s,1958-1961
872,7788.167,67759.019,823.900,108.400,13_n,1958-1961
873,8145.203,68266.038,819.030,62.400,11_n,1958-1961
874,10763.265,68117.663,835.110,79.000,1_s,1958-1961
875,9158.821,68086.004,830.100,73.500,7_n,1958-1961
877,10086.781,68449.940,827.600,70.000,3_n,1958-1961
878,9314.394,67777.906,856.750,86.000,7_s,1958-1961
879,10638.833,68597.590,831.700,43.300,1_n,1958-1961
880,8957.353,67414.932,856.200,81.600,9_s,1958-1961
881,9122.936,67642.225,855.480,81.000,8_s,1958-1961
882,7772.203,67276.796,839.410,58.100,14_s,1958-1961
883,8702.242,67925.020,831.570,105.400,9_n,1958-1961
884,7780.756,67503.038,830.350,101.000,13_s,1958-1961
885,6906.050,67364.924,832.690,83.000,18_s,1958-1961
